OriginAirportID,DestAirportID,Delay
12441,12892,-48.0
11292,14027,-38.30769230769231
10299,13830,-37.0
14057,12758,-32.23529411764706
10397,12173,-31.066666666666666
12266,14570,-29.0
12389,12266,-28.5
13830,10299,-28.5
12094,12264,-28.5
11618,10849,-28.0
11618,11503,-28.0
11042,14057,-27.571428571428573
12953,11066,-27.0
11292,12982,-27.0
15356,11697,-26.727272727272727
14057,12982,-26.266666666666666
10397,14057,-26.197674418604652
12478,13796,-26.181818181818183
13851,14747,-25.833333333333332
12892,11884,-25.666666666666668
12264,14893,-25.03846153846154
12892,15041,-25.0
14100,11042,-25.0
13830,10666,-25.0
14633,13487,-24.843373493975903
12478,12173,-24.75
15356,14635,-24.55
11433,14843,-24.4
11066,12953,-24.0
12264,12094,-24.0
12339,14771,-23.3
14683,11618,-23.23076923076923
11433,14057,-23.176470588235293
10423,12264,-23.0
13487,14057,-22.78014184397163
13851,14869,-22.333333333333332
13487,14908,-22.294117647058822
10397,14893,-21.851063829787233
10792,14107,-21.833333333333332
13204,14321,-21.5
13487,14893,-21.404761904761905
12441,11298,-21.25
10397,14831,-21.153846153846153
12389,13487,-21.035087719298247
10140,13204,-21.0
10849,11618,-21.0
10666,13830,-21.0
13485,14869,-20.523809523809526
11193,14107,-20.428571428571427
12173,10666,-20.423076923076923
14843,13487,-20.285714285714285
10994,14747,-20.058823529411764
13487,14679,-19.98230088495575
12264,12173,-19.8
13796,12758,-19.448275862068964
13796,12982,-19.416666666666668
12478,14570,-19.4
12264,14747,-19.272727272727273
12982,14057,-19.142857142857142
13367,11292,-18.833333333333332
11433,14771,-18.831460674157302
12889,10299,-18.692307692307693
12264,15024,-18.666666666666668
14122,14771,-18.566666666666666
11292,14635,-18.55
14679,12982,-18.46153846153846
13198,13303,-18.454545454545453
14679,12758,-18.384615384615383
13487,15376,-18.366666666666667
11193,12953,-18.333333333333332
15024,13930,-18.285714285714285
11503,12892,-18.25
11697,15356,-18.227272727272727
14107,12264,-18.133333333333333
11775,10397,-18.1
14831,12758,-18.083333333333332
13487,14831,-18.08
13930,15024,-18.0
12945,12953,-18.0
10821,14771,-18.0
12953,13296,-18.0
11298,12441,-18.0
10781,12448,-18.0
10299,10165,-17.875
10713,14893,-17.84
11433,14679,-17.833333333333332
14520,12335,-17.64
10721,11066,-17.581818181818182
11292,12758,-17.375
11618,14908,-17.333333333333332
13871,14747,-17.322580645161292
14869,11603,-17.316666666666666
14893,12173,-17.3
14683,14771,-17.266666666666666
10397,14747,-17.20883534136546
11042,14771,-17.2
15016,14869,-17.152542372881356
10721,14057,-17.066666666666666
11057,14057,-17.0
14492,12339,-17.0
12892,12441,-17.0
13871,13204,-16.875
12892,10299,-16.8
12478,13487,-16.716666666666665
12217,11298,-16.666666666666668
10721,13495,-16.625
14679,13830,-16.6
11109,14747,-16.6
11433,14747,-16.58125
13930,13830,-16.4
10165,10299,-16.375
13930,12448,-16.358490566037737
13204,14747,-16.134831460674157
10581,12953,-16.125
